OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Bathtub,"[0.5515340284070934, [(1.0, 0.06666666666666667), (0.15, 1.0), (0.07537688442211055, 1.0)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Coffee table,"[0.6453146598956635, [(1.0, 0.024390243902439025), (0.2222222222222222, 0.8780487804878049), (0.11764705882352941, 0.926829268292683)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Ruler,"[0.45044731476111133, [(0.0, 0.0), (0.1780821917808219, 0.8666666666666667), (0.09655172413793103, 0.9333333333333333)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Tablet computer,"[0.5702140452140452, [(1.0, 0.1111111111111111), (0.14516129032258066, 1.0), (0.07317073170731707, 1.0)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Sunglasses,"[0.8524658329039996, [(1.0, 0.008849557522123894), (0.41841004184100417, 0.8849557522123894), (0.2184873949579832, 0.9203539823008849)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Clock,"[0.37434467495908946, [(1.0, 0.017543859649122806), (0.15708812260536398, 0.7192982456140351), (0.08461538461538462, 0.7719298245614035)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Infant bed,"[0.8505094043887147, [(1.0, 0.05555555555555555), (0.21518987341772153, 0.9444444444444444), (0.11538461538461539, 1.0)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Toy,"[0.09204476762116559, [(0.0, 0.0), (0.05799006719252118, 0.5438356164383562), (0.03805419618727631, 0.7136986301369863)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Glove,"[0.43723411961518055, [(1.0, 0.011764705882352941), (0.18469656992084432, 0.8235294117647058), (0.0964332892998679, 0.8588235294117647)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Salad,"[0.739425300261788, [(1.0, 0.0048543689320388345), (0.4166666666666667, 0.8252427184466019), (0.22235872235872237, 0.8786407766990292)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Truck,"[0.8093812595350725, [(1.0, 0.0033112582781456954), (0.3103448275862069, 0.9238410596026491), (0.16249304396215916, 0.9668874172185431)]]"
OpenImagesChallenge2018_PerformanceByCategory/AP+precision+recall@0.5IOU/Barrel,"[0.602803142946578, [(1.0, 0.013888888888888888), (0.15159574468085107, 0.7916666666666666), (0.08666666666666667, 0.9027777777777778)]]"
